Country_Code,Country,Year,Series,Value
15,Northern Africa,2015,Life expectancy at birth for males (years),68.7
15,Northern Africa,2015,Life expectancy at birth for females (years),73.2
15,Northern Africa,2020,Population annual rate of increase (percent),1.8
15,Northern Africa,2020,Total fertility rate (children per women),3.1
15,Northern Africa,2020,"Infant mortality for both sexes (per 1,000 live births)",22.6
15,Northern Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",103
15,Northern Africa,2020,Life expectancy at birth for both sexes (years),71.2
15,Northern Africa,2020,Life expectancy at birth for males (years),69
15,Northern Africa,2020,Life expectancy at birth for females (years),73.6
15,Northern Africa,2022,Population annual rate of increase (percent),1.6
15,Northern Africa,2022,Total fertility rate (children per women),3
15,Northern Africa,2022,"Infant mortality for both sexes (per 1,000 live births)",21.4
15,Northern Africa,2022,Life expectancy at birth for both sexes (years),71.3
15,Northern Africa,2022,Life expectancy at birth for males (years),69.1
15,Northern Africa,2022,Life expectancy at birth for females (years),73.6
202,Sub-Saharan Africa,2010,Population annual rate of increase (percent),2.8
202,Sub-Saharan Africa,2010,Total fertility rate (children per women),5.3
202,Sub-Saharan Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",66.2
202,Sub-Saharan Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",668
202,Sub-Saharan Africa,2010,Life expectancy at birth for both sexes (years),56.3
202,Sub-Saharan Africa,2010,Life expectancy at birth for males (years),54.8
202,Sub-Saharan Africa,2010,Life expectancy at birth for females (years),57.7
202,Sub-Saharan Africa,2015,Population annual rate of increase (percent),2.7
202,Sub-Saharan Africa,2015,Total fertility rate (children per women),4.9
202,Sub-Saharan Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",57.2
202,Sub-Saharan Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",598
202,Sub-Saharan Africa,2015,Life expectancy at birth for both sexes (years),59
202,Sub-Saharan Africa,2015,Life expectancy at birth for males (years),57.3
202,Sub-Saharan Africa,2015,Life expectancy at birth for females (years),60.7
202,Sub-Saharan Africa,2020,Population annual rate of increase (percent),2.6
202,Sub-Saharan Africa,2020,Total fertility rate (children per women),4.7
202,Sub-Saharan Africa,2020,"Infant mortality for both sexes (per 1,000 live births)",50
202,Sub-Saharan Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",545
202,Sub-Saharan Africa,2020,Life expectancy at birth for both sexes (years),60.3
202,Sub-Saharan Africa,2020,Life expectancy at birth for males (years),58.4
202,Sub-Saharan Africa,2020,Life expectancy at birth for females (years),62.2
202,Sub-Saharan Africa,2022,Population annual rate of increase (percent),2.5
202,Sub-Saharan Africa,2022,Total fertility rate (children per women),4.5
202,Sub-Saharan Africa,2022,"Infant mortality for both sexes (per 1,000 live births)",47.5
202,Sub-Saharan Africa,2022,Life expectancy at birth for both sexes (years),60.2
202,Sub-Saharan Africa,2022,Life expectancy at birth for males (years),58.3
202,Sub-Saharan Africa,2022,Life expectancy at birth for females (years),62.1
14,Eastern Africa,2010,Population annual rate of increase (percent),2.9
14,Eastern Africa,2010,Total fertility rate (children per women),5.2
14,Eastern Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",55.2
14,Eastern Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",542
14,Eastern Africa,2010,Life expectancy at birth for both sexes (years),58.5
14,Eastern Africa,2010,Life expectancy at birth for males (years),56.7
14,Eastern Africa,2010,Life expectancy at birth for females (years),60.3
14,Eastern Africa,2015,Population annual rate of increase (percent),2.7
14,Eastern Africa,2015,Total fertility rate (children per women),4.7
14,Eastern Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",45
14,Eastern Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",429
14,Eastern Africa,2015,Life expectancy at birth for both sexes (years),62.1
14,Eastern Africa,2015,Life expectancy at birth for males (years),59.8
14,Eastern Africa,2015,Life expectancy at birth for females (years),64.5
14,Eastern Africa,2020,Population annual rate of increase (percent),2.6
14,Eastern Africa,2020,Total fertility rate (children per women),4.3
14,Eastern Africa,2020,"Infant mortality for both sexes (per 1,000 live births)",38.3
14,Eastern Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",351
14,Eastern Africa,2020,Life expectancy at birth for both sexes (years),63.7
14,Eastern Africa,2020,Life expectancy at birth for males (years),61.2
14,Eastern Africa,2020,Life expectancy at birth for females (years),66.3
14,Eastern Africa,2022,Population annual rate of increase (percent),2.5
14,Eastern Africa,2022,Total fertility rate (children per women),4.2
14,Eastern Africa,2022,"Infant mortality for both sexes (per 1,000 live births)",35.5
14,Eastern Africa,2022,Life expectancy at birth for both sexes (years),63.6
14,Eastern Africa,2022,Life expectancy at birth for males (years),61
14,Eastern Africa,2022,Life expectancy at birth for females (years),66.2
17,Middle Africa,2010,Population annual rate of increase (percent),3.3
17,Middle Africa,2010,Total fertility rate (children per women),6.2
17,Middle Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",74.6
17,Middle Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",632
17,Middle Africa,2010,Life expectancy at birth for both sexes (years),55.8
17,Middle Africa,2010,Life expectancy at birth for males (years),54.2
17,Middle Africa,2010,Life expectancy at birth for females (years),57.5
17,Middle Africa,2015,Population annual rate of increase (percent),3.2
17,Middle Africa,2015,Total fertility rate (children per women),6
17,Middle Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",62.9
17,Middle Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",573
17,Middle Africa,2015,Life expectancy at birth for both sexes (years),58.4
17,Middle Africa,2015,Life expectancy at birth for males (years),56.6
17,Middle Africa,2015,Life expectancy at birth for females (years),60.2
17,Middle Africa,2020,Population annual rate of increase (percent),3.1
17,Middle Africa,2020,Total fertility rate (children per women),5.7
17,Middle Africa,2020,"Infant mortality for both sexes (per 1,000 live births)",54
17,Middle Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",539
17,Middle Africa,2020,Life expectancy at birth for both sexes (years),59.7
17,Middle Africa,2020,Life expectancy at birth for males (years),57.7
17,Middle Africa,2020,Life expectancy at birth for females (years),61.7
17,Middle Africa,2022,Population annual rate of increase (percent),3
17,Middle Africa,2022,Total fertility rate (children per women),5.6
17,Middle Africa,2022,"Infant mortality for both sexes (per 1,000 live births)",50.7
17,Middle Africa,2022,Life expectancy at birth for both sexes (years),59.6
17,Middle Africa,2022,Life expectancy at birth for males (years),57.5
17,Middle Africa,2022,Life expectancy at birth for females (years),61.8
18,Southern Africa,2010,Population annual rate of increase (percent),1.2
18,Southern Africa,2010,Total fertility rate (children per women),2.5
18,Southern Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",37.5
18,Southern Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",277
18,Southern Africa,2010,Life expectancy at birth for both sexes (years),58.1
18,Southern Africa,2010,Life expectancy at birth for males (years),55.3
18,Southern Africa,2010,Life expectancy at birth for females (years),60.5
18,Southern Africa,2015,Population annual rate of increase (percent),2.2
18,Southern Africa,2015,Total fertility rate (children per women),2.5
18,Southern Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",30.7
18,Southern Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",183
18,Southern Africa,2015,Life expectancy at birth for both sexes (years),63.2
18,Southern Africa,2015,Life expectancy at birth for males (years),59.9
18,Southern Africa,2015,Life expectancy at birth for females (years),66
18,Southern Africa,2020,Population annual rate of increase (percent),1.2
18,Southern Africa,2020,Total fertility rate (children per women),2.5
18,Southern Africa,2020,"Infant mortality for both sexes (per 1,000 live births)",24.3
18,Southern Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",157
18,Southern Africa,2020,Life expectancy at birth for both sexes (years),64.7
18,Southern Africa,2020,Life expectancy at birth for males (years),61.6
18,Southern Africa,2020,Life expectancy at birth for females (years),67.4
18,Southern Africa,2022,Population annual rate of increase (percent),0.9
18,Southern Africa,2022,Total fertility rate (children per women),2.4
18,Southern Africa,2022,"Infant mortality for both sexes (per 1,000 live births)",30.4
18,Southern Africa,2022,Life expectancy at birth for both sexes (years),61.1
18,Southern Africa,2022,Life expectancy at birth for males (years),58.1
18,Southern Africa,2022,Life expectancy at birth for females (years),63.8
11,Western Africa,2010,Population annual rate of increase (percent),2.8
11,Western Africa,2010,Total fertility rate (children per women),5.7
11,Western Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",76.7
11,Western Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",850
11,Western Africa,2010,Life expectancy at birth for both sexes (years),54.2
11,Western Africa,2010,Life expectancy at birth for males (years),53.5
11,Western Africa,2010,Life expectancy at birth for females (years),55
11,Western Africa,2015,Population annual rate of increase (percent),2.6
11,Western Africa,2015,Total fertility rate (children per women),5.4
11,Western Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",69.6
11,Western Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",808
11,Western Africa,2015,Life expectancy at birth for both sexes (years),55.7
11,Western Africa,2015,Life expectancy at birth for males (years),54.9
11,Western Africa,2015,Life expectancy at birth for females (years),56.5
11,Western Africa,2020,Population annual rate of increase (percent),2.6
11,Western Africa,2020,Total fertility rate (children per women),5
11,Western Africa,2020,"Infant mortality for both sexes (per 1,000 live births)",62.5
11,Western Africa,2020,"Maternal mortality ratio (deaths per 100,000 population)",754
11,Western Africa,2020,Life expectancy at birth for both sexes (years),56.8
11,Western Africa,2020,Life expectancy at birth for males (years),55.8
11,Western Africa,2020,Life expectancy at birth for females (years),57.7
11,Western Africa,2022,Population annual rate of increase (percent),2.5
11,Western Africa,2022,Total fertility rate (children per women),4.9
11,Western Africa,2022,"Infant mortality for both sexes (per 1,000 live births)",59.7
11,Western Africa,2022,Life expectancy at birth for both sexes (years),57.3
11,Western Africa,2022,Life expectancy at birth for males (years),56.4
11,Western Africa,2022,Life expectancy at birth for females (years),58.2
19,Americas,2010,"Maternal mortality ratio (deaths per 100,000 population)",60
19,Americas,2015,"Maternal mortality ratio (deaths per 100,000 population)",58
19,Americas,2020,"Maternal mortality ratio (deaths per 100,000 population)",68
21,Northern America,2010,Population annual rate of increase (percent),0.9
21,Northern America,2010,Total fertility rate (children per women),1.9
21,Northern America,2010,"Infant mortality for both sexes (per 1,000 live births)",6.1
21,Northern America,2010,"Maternal mortality ratio (deaths per 100,000 population)",14
21,Northern America,2010,Life expectancy at birth for both sexes (years),79
21,Northern America,2010,Life expectancy at birth for males (years),76.6
21,Northern America,2010,Life expectancy at birth for females (years),81.4
21,Northern America,2015,Population annual rate of increase (percent),0.8
21,Northern America,2015,Total fertility rate (children per women),1.8
21,Northern America,2015,"Infant mortality for both sexes (per 1,000 live births)",5.8
21,Northern America,2015,"Maternal mortality ratio (deaths per 100,000 population)",17
21,Northern America,2015,Life expectancy at birth for both sexes (years),79.2
21,Northern America,2015,Life expectancy at birth for males (years),76.8
21,Northern America,2015,Life expectancy at birth for females (years),81.6
21,Northern America,2020,Population annual rate of increase (percent),0.4
21,Northern America,2020,Total fertility rate (children per women),1.6
21,Northern America,2020,"Infant mortality for both sexes (per 1,000 live births)",5.4
21,Northern America,2020,"Maternal mortality ratio (deaths per 100,000 population)",20
21,Northern America,2020,Life expectancy at birth for both sexes (years),77.9
21,Northern America,2020,Life expectancy at birth for males (years),75.2
21,Northern America,2020,Life expectancy at birth for females (years),80.7
21,Northern America,2022,Population annual rate of increase (percent),0.5
21,Northern America,2022,Total fertility rate (children per women),1.6
21,Northern America,2022,"Infant mortality for both sexes (per 1,000 live births)",4.9
21,Northern America,2022,Life expectancy at birth for both sexes (years),78.7
21,Northern America,2022,Life expectancy at birth for males (years),76
21,Northern America,2022,Life expectancy at birth for females (years),81.4
419,Latin America & the Caribbean,2010,Population annual rate of increase (percent),1.1
419,Latin America & the Caribbean,2010,Total fertility rate (children per women),2.2
419,Latin America & the Caribbean,2010,"Infant mortality for both sexes (per 1,000 live births)",18.3
419,Latin America & the Caribbean,2010,"Maternal mortality ratio (deaths per 100,000 population)",79
419,Latin America & the Caribbean,2010,Life expectancy at birth for both sexes (years),73.2
419,Latin America & the Caribbean,2010,Life expectancy at birth for males (years),70.1
419,Latin America & the Caribbean,2010,Life expectancy at birth for females (years),76.4
419,Latin America & the Caribbean,2015,Population annual rate of increase (percent),1
419,Latin America & the Caribbean,2015,Total fertility rate (children per women),2.1
419,Latin America & the Caribbean,2015,"Infant mortality for both sexes (per 1,000 live births)",15.5
419,Latin America & the Caribbean,2015,"Maternal mortality ratio (deaths per 100,000 population)",75
419,Latin America & the Caribbean,2015,Life expectancy at birth for both sexes (years),74.6
419,Latin America & the Caribbean,2015,Life expectancy at birth for males (years),71.5
419,Latin America & the Caribbean,2015,Life expectancy at birth for females (years),77.8
419,Latin America & the Caribbean,2020,Population annual rate of increase (percent),0.7
419,Latin America & the Caribbean,2020,Total fertility rate (children per women),1.9
419,Latin America & the Caribbean,2020,"Infant mortality for both sexes (per 1,000 live births)",13.9
419,Latin America & the Caribbean,2020,"Maternal mortality ratio (deaths per 100,000 population)",88
419,Latin America & the Caribbean,2020,Life expectancy at birth for both sexes (years),73.1
419,Latin America & the Caribbean,2020,Life expectancy at birth for males (years),69.7
419,Latin America & the Caribbean,2020,Life expectancy at birth for females (years),76.7
419,Latin America & the Caribbean,2022,Population annual rate of increase (percent),0.7
419,Latin America & the Caribbean,2022,Total fertility rate (children per women),1.8
419,Latin America & the Caribbean,2022,"Infant mortality for both sexes (per 1,000 live births)",13.1
419,Latin America & the Caribbean,2022,Life expectancy at birth for both sexes (years),73.8
419,Latin America & the Caribbean,2022,Life expectancy at birth for males (years),70.6
419,Latin America & the Caribbean,2022,Life expectancy at birth for females (years),77
29,Caribbean,2010,Population annual rate of increase (percent),0.5
29,Caribbean,2010,Total fertility rate (children per women),2.3
29,Caribbean,2010,"Infant mortality for both sexes (per 1,000 live births)",38.5
29,Caribbean,2010,"Maternal mortality ratio (deaths per 100,000 population)",191
29,Caribbean,2010,Life expectancy at birth for both sexes (years),65.7
29,Caribbean,2010,Life expectancy at birth for males (years),63.8
29,Caribbean,2010,Life expectancy at birth for females (years),67.7
29,Caribbean,2015,Population annual rate of increase (percent),0.6
29,Caribbean,2015,Total fertility rate (children per women),2.2
29,Caribbean,2015,"Infant mortality for both sexes (per 1,000 live births)",30.4
29,Caribbean,2015,"Maternal mortality ratio (deaths per 100,000 population)",192
29,Caribbean,2015,Life expectancy at birth for both sexes (years),72.4
29,Caribbean,2015,Life expectancy at birth for males (years),69.5
29,Caribbean,2015,Life expectancy at birth for females (years),75.4
29,Caribbean,2020,Population annual rate of increase (percent),0.6
29,Caribbean,2020,Total fertility rate (children per women),2.1
29,Caribbean,2020,"Infant mortality for both sexes (per 1,000 live births)",28.8
29,Caribbean,2020,"Maternal mortality ratio (deaths per 100,000 population)",188
29,Caribbean,2020,Life expectancy at birth for both sexes (years),72.4
29,Caribbean,2020,Life expectancy at birth for males (years),69.2
29,Caribbean,2020,Life expectancy at birth for females (years),75.8
29,Caribbean,2022,Population annual rate of increase (percent),0.5
29,Caribbean,2022,Total fertility rate (children per women),2
29,Caribbean,2022,"Infant mortality for both sexes (per 1,000 live births)",26.6
29,Caribbean,2022,Life expectancy at birth for both sexes (years),72.7
29,Caribbean,2022,Life expectancy at birth for males (years),69.6
29,Caribbean,2022,Life expectancy at birth for females (years),75.9
13,Central America,2010,Population annual rate of increase (percent),1.5
13,Central America,2010,Total fertility rate (children per women),2.5
13,Central America,2010,"Infant mortality for both sexes (per 1,000 live births)",17.9
13,Central America,2010,"Maternal mortality ratio (deaths per 100,000 population)",63
13,Central America,2010,Life expectancy at birth for both sexes (years),73.8
13,Central America,2010,Life expectancy at birth for males (years),70.8
13,Central America,2010,Life expectancy at birth for females (years),76.8
13,Central America,2015,Population annual rate of increase (percent),1.2
13,Central America,2015,Total fertility rate (children per women),2.3
13,Central America,2015,"Infant mortality for both sexes (per 1,000 live births)",15.1
13,Central America,2015,"Maternal mortality ratio (deaths per 100,000 population)",60
13,Central America,2015,Life expectancy at birth for both sexes (years),74.4
13,Central America,2015,Life expectancy at birth for males (years),71.4
13,Central America,2015,Life expectancy at birth for females (years),77.4
13,Central America,2020,Population annual rate of increase (percent),0.8
13,Central America,2020,Total fertility rate (children per women),2
13,Central America,2020,"Infant mortality for both sexes (per 1,000 live births)",12.8
13,Central America,2020,"Maternal mortality ratio (deaths per 100,000 population)",64
13,Central America,2020,Life expectancy at birth for both sexes (years),70.7
13,Central America,2020,Life expectancy at birth for males (years),67.1
13,Central America,2020,Life expectancy at birth for females (years),74.7
13,Central America,2022,Population annual rate of increase (percent),0.9
13,Central America,2022,Total fertility rate (children per women),1.9
13,Central America,2022,"Infant mortality for both sexes (per 1,000 live births)",12.2
13,Central America,2022,Life expectancy at birth for both sexes (years),74.1
13,Central America,2022,Life expectancy at birth for males (years),70.9
13,Central America,2022,Life expectancy at birth for females (years),77.4
5,South America,2010,Population annual rate of increase (percent),1
5,South America,2010,Total fertility rate (children per women),2.1
5,South America,2010,"Infant mortality for both sexes (per 1,000 live births)",16.3
5,South America,2010,"Maternal mortality ratio (deaths per 100,000 population)",74
5,South America,2010,Life expectancy at birth for both sexes (years),73.8
5,South America,2010,Life expectancy at birth for males (years),70.5
5,South America,2010,Life expectancy at birth for females (years),77.2
5,South America,2015,Population annual rate of increase (percent),1
5,South America,2015,Total fertility rate (children per women),2
5,South America,2015,"Infant mortality for both sexes (per 1,000 live births)",14.1
5,South America,2015,"Maternal mortality ratio (deaths per 100,000 population)",70
5,South America,2015,Life expectancy at birth for both sexes (years),75
5,South America,2015,Life expectancy at birth for males (years),71.8
5,South America,2015,Life expectancy at birth for females (years),78.2
5,South America,2020,Population annual rate of increase (percent),0.7
5,South America,2020,Total fertility rate (children per women),1.8
5,South America,2020,"Infant mortality for both sexes (per 1,000 live births)",12.7
5,South America,2020,"Maternal mortality ratio (deaths per 100,000 population)",86
5,South America,2020,Life expectancy at birth for both sexes (years),74
5,South America,2020,Life expectancy at birth for males (years),70.7
5,South America,2020,Life expectancy at birth for females (years),77.5
5,South America,2022,Population annual rate of increase (percent),0.6
5,South America,2022,Total fertility rate (children per women),1.8
5,South America,2022,"Infant mortality for both sexes (per 1,000 live births)",12
5,South America,2022,Life expectancy at birth for both sexes (years),73.8
5,South America,2022,Life expectancy at birth for males (years),70.6
5,South America,2022,Life expectancy at birth for females (years),77
142,Asia,2010,Population annual rate of increase (percent),1.1
142,Asia,2010,Total fertility rate (children per women),2.3
142,Asia,2010,"Infant mortality for both sexes (per 1,000 live births)",33.2
142,Asia,2010,"Maternal mortality ratio (deaths per 100,000 population)",148
142,Asia,2010,Life expectancy at birth for both sexes (years),71.3
142,Asia,2010,Life expectancy at birth for males (years),69
142,Asia,2010,Life expectancy at birth for females (years),73.8
142,Asia,2015,Population annual rate of increase (percent),1
142,Asia,2015,Total fertility rate (children per women),2.2
142,Asia,2015,"Infant mortality for both sexes (per 1,000 live births)",26.6
142,Asia,2015,"Maternal mortality ratio (deaths per 100,000 population)",117
142,Asia,2015,Life expectancy at birth for both sexes (years),73.1
142,Asia,2015,Life expectancy at birth for males (years),70.8
142,Asia,2015,Life expectancy at birth for females (years),75.6
142,Asia,2020,Population annual rate of increase (percent),0.7
142,Asia,2020,Total fertility rate (children per women),2
142,Asia,2020,"Infant mortality for both sexes (per 1,000 live births)",22.6
142,Asia,2020,"Maternal mortality ratio (deaths per 100,000 population)",104
142,Asia,2020,Life expectancy at birth for both sexes (years),73.7
142,Asia,2020,Life expectancy at birth for males (years),71.3
142,Asia,2020,Life expectancy at birth for females (years),76.4
142,Asia,2022,Population annual rate of increase (percent),0.6
142,Asia,2022,Total fertility rate (children per women),1.9
142,Asia,2022,"Infant mortality for both sexes (per 1,000 live births)",22.2
142,Asia,2022,Life expectancy at birth for both sexes (years),73.2
142,Asia,2022,Life expectancy at birth for males (years),70.8
142,Asia,2022,Life expectancy at birth for females (years),75.8
143,Central Asia,2010,Population annual rate of increase (percent),1.6
143,Central Asia,2010,Total fertility rate (children per women),2.7
143,Central Asia,2010,"Infant mortality for both sexes (per 1,000 live births)",26.2
143,Central Asia,2010,"Maternal mortality ratio (deaths per 100,000 population)",34
143,Central Asia,2010,Life expectancy at birth for both sexes (years),68.5
143,Central Asia,2010,Life expectancy at birth for males (years),65.2
143,Central Asia,2010,Life expectancy at birth for females (years),71.8
143,Central Asia,2015,Population annual rate of increase (percent),1.7
143,Central Asia,2015,Total fertility rate (children per women),2.8
143,Central Asia,2015,"Infant mortality for both sexes (per 1,000 live births)",19.9
143,Central Asia,2015,"Maternal mortality ratio (deaths per 100,000 population)",26
143,Central Asia,2015,Life expectancy at birth for both sexes (years),70.2
143,Central Asia,2015,Life expectancy at birth for males (years),66.8
143,Central Asia,2015,Life expectancy at birth for females (years),73.5
143,Central Asia,2020,Population annual rate of increase (percent),1.6
143,Central Asia,2020,Total fertility rate (children per women),3
143,Central Asia,2020,"Infant mortality for both sexes (per 1,000 live births)",15.9
143,Central Asia,2020,"Maternal mortality ratio (deaths per 100,000 population)",25
143,Central Asia,2020,Life expectancy at birth for both sexes (years),69.8
143,Central Asia,2020,Life expectancy at birth for males (years),66.6
143,Central Asia,2020,Life expectancy at birth for females (years),72.9
143,Central Asia,2022,Population annual rate of increase (percent),1.5
143,Central Asia,2022,Total fertility rate (children per women),2.9
143,Central Asia,2022,"Infant mortality for both sexes (per 1,000 live births)",14.8
143,Central Asia,2022,Life expectancy at birth for both sexes (years),70.6
143,Central Asia,2022,Life expectancy at birth for males (years),67.5
143,Central Asia,2022,Life expectancy at birth for females (years),73.6
30,Eastern Asia,2010,Population annual rate of increase (percent),0.6
30,Eastern Asia,2010,Total fertility rate (children per women),1.7
30,Eastern Asia,2010,"Infant mortality for both sexes (per 1,000 live births)",12.3
30,Eastern Asia,2010,"Maternal mortality ratio (deaths per 100,000 population)",33
30,Eastern Asia,2010,Life expectancy at birth for both sexes (years),76.6
30,Eastern Asia,2010,Life expectancy at birth for males (years),73.8
30,Eastern Asia,2010,Life expectancy at birth for females (years),79.6
30,Eastern Asia,2015,Population annual rate of increase (percent),0.5
30,Eastern Asia,2015,Total fertility rate (children per women),1.6
30,Eastern Asia,2015,"Infant mortality for both sexes (per 1,000 live births)",8.5
30,Eastern Asia,2015,"Maternal mortality ratio (deaths per 100,000 population)",26
30,Eastern Asia,2015,Life expectancy at birth for both sexes (years),78
30,Eastern Asia,2015,Life expectancy at birth for males (years),75.2
30,Eastern Asia,2015,Life expectancy at birth for females (years),80.9
30,Eastern Asia,2020,Population annual rate of increase (percent),0.1
30,Eastern Asia,2020,Total fertility rate (children per women),1.3
30,Eastern Asia,2020,"Infant mortality for both sexes (per 1,000 live births)",5.9
30,Eastern Asia,2020,"Maternal mortality ratio (deaths per 100,000 population)",24
30,Eastern Asia,2020,Life expectancy at birth for both sexes (years),79
30,Eastern Asia,2020,Life expectancy at birth for males (years),76.1
30,Eastern Asia,2020,Life expectancy at birth for females (years),82.1
30,Eastern Asia,2022,Population annual rate of increase (percent),0
30,Eastern Asia,2022,Total fertility rate (children per women),1.2
30,Eastern Asia,2022,"Infant mortality for both sexes (per 1,000 live births)",5.7
30,Eastern Asia,2022,Life expectancy at birth for both sexes (years),79.5
30,Eastern Asia,2022,Life expectancy at birth for males (years),76.7
30,Eastern Asia,2022,Life expectancy at birth for females (years),82.4
62,South-central Asia,2010,Population annual rate of increase (percent),1.5
62,South-central Asia,2010,Total fertility rate (children per women),2.7
